date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:36	201/201	---MCZ	200	added ('OK')	text/plain	date:Sun,%2017%20Nov%202024%2011:35:35%20GMT	https://boxsafe.com.au/robots.txt		(from )
16:35:37	506175/506175	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Nov%202024%2011:35:35%20GMT	https://boxsafe.com.au/	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/index.html	(from )
16:35:39	191697/191697	---MCZ	200	added ('OK')	text/css	etag:W/%222ecd1-6254544bfdfaa%22	https://boxsafe.com.au/wp-content/plugins/formidable/css/formidableforms.css?ver=1025408	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/formidable/css/formidableforms0dad.css	(from https://boxsafe.com.au/)
16:35:41	11652/11652	---MC-	200	added ('OK')	text/calendar	date:Sun,%2017%20Nov%202024%2011:35:40%20GMT	https://boxsafe.com.au/events/?ical=1	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/events/indexedf3.html	(from https://boxsafe.com.au/)
16:35:41	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%226688ad0a-e688%22	https://boxsafe.com.au/wp-includes/css/dashicons.min.css?ver=6.5.5	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-includes/css/dashicons.minadc6.css	(from https://boxsafe.com.au/)
16:35:42	655/655	---MCZ	200	added ('OK')	text/css	etag:W/%2228f-624295a2ef569%22	https://boxsafe.com.au/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min.css?ver=7.2.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.minb324.css	(from https://boxsafe.com.au/)
16:35:43	4744/4744	---MCZ	200	added ('OK')	text/css	etag:W/%221288-624295ea22688%22	https://boxsafe.com.au/wp-content/plugins/event-tickets/common/src/resources/css/variables-skeleton.min.css?ver=6.1.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/event-tickets/common/src/resources/css/variables-skeleton.min42c6.css	(from https://boxsafe.com.au/)
16:35:45	1745/1745	---MCZ	200	added ('OK')	text/css	etag:W/%226d1-624295ea22688%22	https://boxsafe.com.au/wp-content/plugins/event-tickets/common/src/resources/css/variables-full.min.css?ver=6.1.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/event-tickets/common/src/resources/css/variables-full.min42c6.css	(from https://boxsafe.com.au/)
16:35:46	13999/13999	---MCZ	200	added ('OK')	text/css	etag:W/%2236af-624295ea2229f%22	https://boxsafe.com.au/wp-content/plugins/event-tickets/common/src/resources/css/common-skeleton.min.css?ver=6.1.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/event-tickets/common/src/resources/css/common-skeleton.min42c6.css	(from https://boxsafe.com.au/)
16:35:47	43239/43239	---MCZ	200	added ('OK')	text/css	etag:W/%22a8e7-624295ea21eb7%22	https://boxsafe.com.au/wp-content/plugins/event-tickets/common/src/resources/css/common-full.min.css?ver=6.1.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/event-tickets/common/src/resources/css/common-full.min42c6.css	(from https://boxsafe.com.au/)
16:35:49	36116/36116	---MCZ	200	added ('OK')	text/css	etag:W/%228d14-624295ea439c9%22	https://boxsafe.com.au/wp-content/plugins/event-tickets/src/resources/css/tickets.min.css?ver=5.14.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/event-tickets/src/resources/css/tickets.mine900.css	(from https://boxsafe.com.au/)
16:35:50	17676/17676	---MCZ	200	added ('OK')	text/css	etag:W/%22450c-624295ea42a29%22	https://boxsafe.com.au/wp-content/plugins/event-tickets/src/resources/css/rsvp-v1.min.css?ver=5.14.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/event-tickets/src/resources/css/rsvp-v1.mine900.css	(from https://boxsafe.com.au/)
16:35:52	10145/10145	---MCZ	200	added ('OK')	text/css	etag:W/%2227a1-62429568c9a01%22	https://boxsafe.com.au/wp-content/plugins/event-tickets-plus/src/resources/css/tickets.min.css?ver=6.0.5	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/event-tickets-plus/src/resources/css/tickets.min52c7.css	(from https://boxsafe.com.au/)
16:35:53	208/208	---MCZ	200	added ('OK')	text/css	etag:W/%22d0-62203ea2d85c0%22	https://boxsafe.com.au/wp-content/plugins/sensei-pro/assets/dist/shared-module/sensei-fontawesome.css?ver=5dec0aae88900d842d47	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/sensei-pro/assets/dist/shared-module/sensei-fontawesomeab5c.css	(from https://boxsafe.com.au/)
16:35:54	84805/84805	---MCZ	200	added ('OK')	text/css	etag:W/%2266e7a56f-14b45%22	https://boxsafe.com.au/wp-includes/css/dist/components/style.min.css?ver=6.5.5	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-includes/css/dist/components/style.minadc6.css	(from https://boxsafe.com.au/)
16:35:56	65325/65325	---MCZ	200	added ('OK')	text/css	etag:W/%22ff2d-62203ea2dc058%22	https://boxsafe.com.au/wp-content/plugins/sensei-pro/assets/dist/interactive-blocks/interactive-blocks-styles.css?ver=5dac63ddc4cdfe84f0dd	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/sensei-pro/assets/dist/interactive-blocks/interactive-blocks-stylesab24.css	(from https://boxsafe.com.au/)
16:35:58	13198/13198	---MCZ	200	added ('OK')	text/css	etag:W/%22338e-6246b35961684%22	https://boxsafe.com.au/wp-content/plugins/sensei-lms/assets/dist/css/sensei-theme-blocks.css?ver=c3db2a444fe67e8cdcea	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/sensei-lms/assets/dist/css/sensei-theme-blocks9c3c.css	(from https://boxsafe.com.au/)
16:35:59	1738/1738	---MCZ	200	added ('OK')	text/css	etag:W/%226ca-6246b35961684%22	https://boxsafe.com.au/wp-content/plugins/sensei-lms/assets/dist/css/sensei-course-theme/sidebar-mobile-menu.css?ver=a2904062ba4cd0776255	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/sensei-lms/assets/dist/css/sensei-course-theme/sidebar-mobile-menud92f.css	(from https://boxsafe.com.au/)
16:36:00	1125/1125	---MCZ	200	added ('OK')	text/css	etag:W/%22465-6246b3596129c%22	https://boxsafe.com.au/wp-content/plugins/sensei-lms/assets/dist/css/page-block-patterns.css?ver=0c1eccea9ea23798e728	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/sensei-lms/assets/dist/css/page-block-patternsf130.css	(from https://boxsafe.com.au/)
16:36:01	331/331	---MCZ	200	added ('OK')	text/css	etag:W/%2214b-62203ea2da8e8%22	https://boxsafe.com.au/wp-content/plugins/sensei-pro/assets/dist/style-student-groups/join-group-block.css?ver=1.24.1	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/sensei-pro/assets/dist/style-student-groups/join-group-block0eb6.css	(from https://boxsafe.com.au/)
16:36:03	1969/1969	---MCZ	200	added ('OK')	text/css	etag:W/%227b1-62203ea2da500%22	https://boxsafe.com.au/wp-content/plugins/sensei-pro/assets/dist/style-student-groups/group-members-list-block.css?ver=1.24.1	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/sensei-pro/assets/dist/style-student-groups/group-members-list-block0eb6.css	(from https://boxsafe.com.au/)
16:36:07	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-62203e5501124%22	https://boxsafe.com.au/wp-content/plugins/content-control/dist/style-block-editor.css?ver=2.5.0	C:/My%20Web%20Sites/Boxsafe/boxsafe.com.au/wp-content/plugins/content-control/dist/style-block-editor0875.css	(from https://boxsafe.com.au/)
